ID,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Data Offset,Reserved,Flags,Window Size,Checksum,Urgent Pointer,next_packages,Session,Label
0,15987,80,606615791,0,9,0,2,5792,10132,0,[18],1,gmail
1,80,15987,2332354090,606615792,9,0,18,5792,20556,0,[16],1,gmail
2,15987,80,606615792,2332354091,8,0,16,5792,26014,0,"[17, 16, 24]",1,gmail
3,15987,80,606615792,2332354091,8,0,24,5792,54982,0,[16],1,gmail
4,80,15987,2332354091,606617020,8,0,16,7240,21793,0,"[17, 16, 24]",1,gmail
5,59993,443,2396181914,1999873096,8,0,24,23168,6505,0,[16],2,gmail
6,443,59993,1999873096,2396183283,8,0,16,23168,23483,0,"[17, 16, 24]",2,gmail
7,29828,80,550235891,0,9,0,2,5792,16249,0,[18],3,gmail
8,80,29828,187725606,550235892,9,0,18,5792,12190,0,[16],3,gmail
9,29828,80,550235892,187725607,8,0,16,5792,15580,0,"[17, 16, 24]",3,gmail
10,29828,80,550235892,187725607,8,0,24,5792,43052,0,[16],3,gmail
11,80,29828,187725607,550237120,8,0,16,7240,7302,0,"[17, 16, 24]",3,gmail
12,443,20380,432218543,150110014,8,0,17,65535,59302,0,"[17, 16]",4,gmail
13,20380,443,150110014,432218544,8,0,17,65535,3415,0,"[17, 16]",4,gmail
14,443,20380,432218544,150110015,8,0,16,65535,3087,0,"[17, 16, 24]",4,gmail
15,61326,443,2395082753,2870282218,8,0,24,65535,56992,0,[16],5,gmail
16,443,61326,2870282218,2395083561,8,0,16,65535,27634,0,"[17, 16, 24]",5,gmail
17,443,50237,3034379369,2683086795,8,0,17,65535,18438,0,"[17, 16]",6,gmail
18,50237,443,2683086795,3034379370,8,0,17,65535,9501,0,"[17, 16]",6,gmail
19,443,50237,3034379370,2683086796,8,0,16,65535,8911,0,"[17, 16, 24]",6,gmail
20,443,64124,1023162389,557996512,8,0,24,30408,54601,0,[16],7,gmail
21,64124,443,557996512,1023163312,8,0,16,30408,65198,0,"[17, 16, 24]",7,gmail
22,80,30350,40912139,552007114,8,0,16,7240,61128,0,"[17, 16, 24]",8,gmail
23,80,30350,40913587,552007114,8,0,24,7240,10278,0,[16],8,gmail
24,30350,80,552007114,40913684,8,0,16,8688,34021,0,"[17, 16, 24]",8,gmail
25,60202,443,2641029292,620265214,8,0,24,27512,26032,0,[16],9,gmail
26,443,60202,620265214,2641029915,8,0,16,30408,24258,0,"[17, 16, 24]",9,gmail
27,443,62472,172556208,550816915,8,0,17,23168,41269,0,"[17, 16]",10,gmail
28,62472,443,550816915,172556209,8,0,17,24616,15039,0,"[17, 16]",10,gmail
29,443,62472,172556209,550816916,8,0,16,23168,13852,0,"[17, 16, 24]",10,gmail
30,37554,443,142823475,2318156798,8,0,24,27512,6286,0,[16],11,gmail
31,443,37554,2318156798,142824098,8,0,16,30408,33188,0,"[17, 16, 24]",11,gmail
32,443,8827,1356249643,2757408334,8,0,24,30408,14566,0,[16],12,gmail
33,8827,443,2757408334,1356250566,8,0,16,30408,31480,0,"[17, 16, 24]",12,gmail
34,65006,80,2213792863,0,9,0,2,5792,9379,0,[18],13,gmail
35,80,65006,190444591,2213792864,9,0,18,5792,2549,0,[16],13,gmail
36,65006,80,2213792864,190444592,8,0,16,5792,8087,0,"[17, 16, 24]",13,gmail
37,65006,80,2213792864,190444592,8,0,24,5792,37100,0,[16],13,gmail
38,80,65006,190444592,2213794092,8,0,16,7240,3528,0,"[17, 16, 24]",13,gmail
39,443,2494,903221051,2689677658,8,0,24,65535,52843,0,[16],14,gmail
40,2494,443,2689677658,903221451,8,0,16,65535,12847,0,"[17, 16, 24]",14,gmail
41,8106,80,522033700,0,9,0,2,5792,38612,0,[18],15,gmail
42,80,8106,188578858,522033701,9,0,18,5792,21876,0,[16],15,gmail
43,8106,80,522033701,188578859,8,0,16,5792,26608,0,"[17, 16, 24]",15,gmail
44,8106,80,522033701,188578859,8,0,24,5792,54501,0,[16],15,gmail
45,80,8106,188578859,522034929,8,0,16,7240,19488,0,"[17, 16, 24]",15,gmail
46,80,34694,72170112,2584001225,8,0,16,7240,39924,0,"[17, 16, 24]",16,gmail
47,80,34694,72171560,2584001225,8,0,24,7240,54610,0,[16],16,gmail
48,34694,80,2584001225,72171657,8,0,16,8688,19639,0,"[17, 16, 24]",16,gmail
49,80,34694,72171657,2584001225,8,0,17,7240,20253,0,"[17, 16]",16,gmail
50,34694,80,2584001225,72171658,8,0,17,8688,16755,0,"[17, 16]",16,gmail
51,80,34694,72171658,2584001226,8,0,16,7240,16383,0,"[17, 16, 24]",16,gmail
52,42928,443,2776680312,3493731565,8,0,24,65535,17556,0,[16],17,gmail
53,443,42928,3493731565,2776680496,8,0,16,65535,64755,0,"[17, 16, 24]",17,gmail
54,80,18983,2246142138,595839326,8,0,16,7240,7799,0,"[17, 16, 24]",18,gmail
55,80,18983,2246143586,595839326,8,0,24,7240,45979,0,[16],18,gmail
56,18983,80,595839326,2246143683,8,0,16,8688,43102,0,"[17, 16, 24]",18,gmail
57,59997,443,493184546,2740901798,8,0,24,30408,17700,0,[16],19,gmail
58,443,59997,2740901798,493185932,8,0,16,31856,17954,0,"[17, 16, 24]",19,gmail
59,44849,443,101468373,3151095786,8,0,24,65535,51463,0,[16],20,gmail
60,443,44849,3151095786,101468516,8,0,16,65535,62150,0,"[17, 16, 24]",20,gmail
61,443,32367,4287358517,57017102,8,0,17,23168,52081,0,"[17, 16]",21,gmail
62,32367,443,57017102,4287358518,8,0,17,24616,65437,0,"[17, 16]",21,gmail
63,443,32367,4287358518,57017103,8,0,16,23168,735,0,"[17, 16, 24]",21,gmail
64,443,50643,4192557908,477003364,8,0,24,23168,50112,0,[16],22,gmail
65,50643,443,477003364,4192559122,8,0,16,24616,13837,0,"[17, 16, 24]",22,gmail
66,443,50643,4192559122,477003364,8,0,17,23168,12536,0,"[17, 16]",22,gmail
67,50643,443,477003364,4192559123,8,0,17,24616,7087,0,"[17, 16]",22,gmail
68,443,50643,4192559123,477003365,8,0,16,23168,6853,0,"[17, 16, 24]",22,gmail
69,443,13554,606481092,2616412380,8,0,24,30408,47058,0,[16],23,gmail
70,13554,443,2616412380,606482497,8,0,16,28960,43989,0,"[17, 16, 24]",23,gmail
71,443,36290,2491259019,2421413289,8,0,24,30408,17143,0,[16],24,gmail
72,36290,443,2421413289,2491259942,8,0,16,30408,60229,0,"[17, 16, 24]",24,gmail
73,36747,443,2581578306,4138351106,8,0,24,23168,35984,0,[16],25,gmail
74,443,36747,4138351106,2581579675,8,0,16,23168,24291,0,"[17, 16, 24]",25,gmail
75,443,36747,4138351106,2581579675,8,0,24,23168,11534,0,[16],25,gmail
76,36747,443,2581579675,4138352320,8,0,16,24616,10646,0,"[17, 16, 24]",25,gmail
77,443,36747,4138352320,2581579675,8,0,17,23168,11644,0,"[17, 16]",25,gmail
78,36747,443,2581579675,4138352321,8,0,17,24616,9789,0,"[17, 16]",25,gmail
79,443,36747,4138352321,2581579676,8,0,16,23168,10889,0,"[17, 16, 24]",25,gmail
80,26777,80,570614531,0,9,0,2,5792,27551,0,[18],26,gmail
81,80,26777,2348483409,570614532,9,0,18,5792,2217,0,[16],26,gmail
82,26777,80,570614532,2348483410,8,0,16,5792,7080,0,"[17, 16, 24]",26,gmail
83,57037,443,347992580,4219503281,8,0,24,23168,11025,0,[16],27,gmail
84,443,57037,4219503281,347993949,8,0,16,23168,46487,0,"[17, 16, 24]",27,gmail
85,443,29167,174379668,147000090,8,0,24,31856,2918,0,[16],28,gmail
86,29167,443,147000090,174380429,8,0,16,31856,25900,0,"[17, 16, 24]",28,gmail
87,443,33535,1361144017,2733381304,8,0,24,30408,34223,0,[16],29,gmail
88,33535,443,2733381304,1361145422,8,0,16,28960,4787,0,"[17, 16, 24]",29,gmail
89,443,23744,4171770373,506388715,8,0,24,23168,41662,0,[16],30,gmail
90,23744,443,506388715,4171771587,8,0,16,24616,14941,0,"[17, 16, 24]",30,gmail
91,443,29775,527134266,2558167489,8,0,17,31856,37641,0,"[17, 16]",31,gmail
92,29775,443,2558167489,527134267,8,0,17,31856,15165,0,"[17, 16]",31,gmail
93,443,29775,527134267,2558167490,8,0,16,31856,13616,0,"[17, 16, 24]",31,gmail
94,21362,443,2778392393,3629810182,8,0,24,30408,20992,0,[16],32,gmail
95,443,21362,3629810182,2778393779,8,0,16,31856,23499,0,"[17, 16, 24]",32,gmail
96,64749,443,224421065,271621657,8,0,24,30408,61934,0,[16],33,gmail
97,443,64749,271621657,224422451,8,0,16,31856,16640,0,"[17, 16, 24]",33,gmail
98,443,64749,271621657,224422451,8,0,24,31856,30189,0,[16],33,gmail
99,64749,443,224422451,271622418,8,0,16,31856,4089,0,"[17, 16, 24]",33,gmail
100,443,64749,271622418,224422451,8,0,17,31856,65209,0,"[17, 16]",33,gmail
101,64749,443,224422451,271622419,8,0,17,31856,60145,0,"[17, 16]",33,gmail
102,443,64749,271622419,224422452,8,0,16,31856,57887,0,"[17, 16, 24]",33,gmail
103,2594,443,2471206407,400952705,8,0,24,30408,9211,0,[16],34,gmail
104,443,2594,400952705,2471207793,8,0,16,31856,12459,0,"[17, 16, 24]",34,gmail
105,80,34483,63621355,2711828985,8,0,16,7240,38495,0,"[17, 16, 24]",35,gmail
